DateTime,Users,Average Users,In-Game
2021-05-31,24624342,,6296681
2021-06-30,24167638,,6120447
2021-07-31,23489163,,6271231
2021-08-31,23960637,,6366890
2021-09-30,24056272,,6316211
2021-10-31,24549385,,6545651
2021-11-30,24895241,,6468082
2021-12-31,25511004,,6763531
2022-01-31,27146974,,7301852
2022-02-28,27639988,,7872861
2022-03-31,27168784,,7848677
2022-04-30,27049211,,7600795
2022-05-31,26280259,,7381048
2022-06-30,26564763,,7437004
2022-07-31,26026500,,7339516
2022-08-31,25952011,,7353351
2022-09-30,26606057,20875144,7464754
2022-10-31,27419280,21679906,7478299
2022-11-30,28402284,22696446,7819625
2022-12-31,29336181,24127910,8265380
2023-01-31,29895792,24648705,8536530
2023-02-28,30224437,24454210,8696744
2023-03-31,30473921,24110667,8677371
2023-04-30,30801330,24174559,8613378
2023-05-31,30229190,23697798,8345512
2023-06-30,29367813,23406348,7941542
2023-07-31,28252806,23010104,8274000
2023-08-31,27811317,22409686,8511783
2023-09-30,28560358,22349223,8732654
2023-10-31,28582984,22243182,8603965
2023-11-30,28841170,22872176,8408193
2023-12-31,30409602,24437669,9213349
2024-01-31,31009636,25295361,9622455
2024-02-29,30384800,24764753,9488285
2024-03-31,32948346,25892348,10105078
2024-04-30,33143642,25619541,10025869
2024-05-31,33141483,25743653,9766689
2024-06-30,33919644,26686320,10238331
2024-07-31,33993222,27237647,10466134
2024-08-31,34093825,26968657,10661407
2024-09-30,35203564,26868990,10768487
2024-10-31,34860543,26629014,10377674
2024-11-30,35158456,27470687,10261800
2024-12-31,36603708,28859638,11033248
2025-01-31,35879384,29156757,10472768
2025-02-28,36167959,29005674,10583685
2025-03-31,30784081,29842350,8495665
2025-04-30,29404233,29804171,8024501
