title,url,price,tags
Factorio,https://store.steampowered.com/app/427520/Factorio/,$35.00,"['Management', 'Strategy', 'Survival', '2D', 'Trains', 'Simulation', 'Moddable', 'Multiplayer', 'City Builder', 'Automation', 'Singleplayer', 'Co-op', 'Resource Management', 'Pixel Graphics', 'Sandbox', 'Building', 'Crafting', 'Open World']"
RimWorld,https://store.steampowered.com/app/294100/RimWorld/,$34.99,"['Management', 'Strategy', 'Survival', 'Simulation', 'City Builder', 'Open World', '2D', 'Tactical', 'Singleplayer', 'Western', 'Sci-fi', 'Sandbox', 'Building', 'Space', 'Moddable', 'Cartoony', 'Procedural Generation']"
Outer Wilds,https://store.steampowered.com/app/753640/Outer_Wilds/,$14.99,"['Beautiful', 'Soundtrack', 'Open World', 'First-Person', 'Simulation', 'Horror', 'Action', 'Story Rich', 'Singleplayer', '3D', 'Sci-fi', 'Exploration', 'Epic', 'Space', 'Adventure', 'Atmospheric', 'Puzzle', 'Mystery']"
Last Epoch - Woven Templar Supporter Pack,https://store.steampowered.com/app/3512580/Last_Epoch__Woven_Templar_Supporter_Pack/,$29.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2/,$24.99,"['Loot', 'Soundtrack', 'Third-Person Shooter', 'Survival', 'Multiplayer', 'Action', 'Roguelike', 'Co-op', 'Singleplayer', 'Early Access', 'Third Person', 'Roguelite', 'Looter Shooter', 'Difficult', 'Bullet Hell', 'Shooter']"
Satisfactory,https://store.steampowered.com/app/526870/Satisfactory/,$39.99,"['Strategy', 'Survival', 'Simulation', 'First-Person', 'Multiplayer', 'Automation', 'Singleplayer', 'Co-op', 'Resource Management', 'Early Access', 'Open World Survival Craft', 'Sandbox', 'Exploration', 'Building', 'Adventure', 'Crafting', 'Sci-fi', 'Open World']"
#DRIVE Rally,https://store.steampowered.com/app/2494780/DRIVE_Rally/,$13.99,"['Retro', 'Racing', 'Simulation', 'Offroad', 'Nostalgia', 'Character Customization', 'Action', '1980s', 'Singleplayer', 'Arcade', 'Funny', 'Parody ', 'Physics', 'Driving', 'Sports', 'Controller', 'Stylized', ""1990's""]"
Last Epoch - Woven Traveler Supporter Pack,https://store.steampowered.com/app/3512570/Last_Epoch__Woven_Traveler_Supporter_Pack/,$9.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Brawlhalla,https://store.steampowered.com/app/291550/Brawlhalla/,Free,"['2D Fighter', 'Multiplayer', 'Action', 'Casual', 'Platformer', 'Co-op', 'Singleplayer', 'Fantasy', 'Cartoony', 'Controller', 'eSports', 'Family Friendly', 'Fighting', 'Free to Play']"
Ale & Tale Tavern,https://store.steampowered.com/app/2683150/Ale__Tale_Tavern/,$10.04,"['Management', 'Simulation', 'First-Person', 'Action-Adventure', 'Multiplayer', 'Action', 'Casual', 'Co-op', '3D', 'Sandbox', 'Fantasy', 'Economy', 'Adventure', 'Building', 'Cooking', 'Exploration', 'Family Friendly']"
Palworld,https://store.steampowered.com/app/1623730/Palworld/,$29.99,"['Anime', 'Adventure', 'Crafting', 'Third-Person Shooter', 'Hack and Slash', 'Early Access', 'Co-op', 'Sandbox', 'Looter Shooter', 'Open World', 'Survival', 'PvE', 'Action', 'Automation', '3D', 'RPG', 'Creature Collector', 'Multiplayer', 'Open World Survival Craft']"
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/,$19.99,"['Horror', 'Singleplayer', 'Adventure', 'Crafting', 'Early Access', 'Co-op', 'Zombies', 'Sandbox', 'Open World', 'Realistic', 'Survival', '2D', 'Post-apocalyptic', 'RPG', 'Simulation', 'Multiplayer', 'Isometric', 'Open World Survival Craft', 'Building']"
Fast Food Simulator,https://store.steampowered.com/app/2916430/Fast_Food_Simulator/,$11.99,"['Management', 'Simulation', 'First-Person', 'Multiplayer', 'Character Customization', 'Horror', 'Singleplayer', 'Co-op', '3D', 'Early Access', 'VR', 'Cooking', 'Realistic', 'Artificial Intelligence']"
