title,url,price,tags
Warframe,https://store.steampowered.com/app/230410/Warframe/,0.00,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'PvE', 'Singleplayer', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']"
The Last of Us™ Part II Remastered,https://store.steampowered.com/app/2531310/The_Last_of_Us_Part_II_Remastered/,49.99,"['Story Rich', 'Post-apocalyptic', 'Third-Person Shooter', 'LGBTQ+', 'Action-Adventure', 'Third Person', 'Action', 'Horror', 'Stealth', 'Realistic', 'Emotional', 'Drama', 'Atmospheric', 'Singleplayer', 'Thriller', 'Survival', 'Adventure', 'Survival Horror', 'Dark', 'Sequel']"
LUNAR Remastered Collection,https://store.steampowered.com/app/3255380/LUNAR_Remastered_Collection/,49.99,"['Adventure', 'RPG', 'Anime', 'JRPG', 'Turn-Based Combat', 'Nostalgia', 'Magic', ""1990's"", 'Fantasy', 'Romance', 'Pixel Graphics', '2D', 'Turn-Based Strategy', 'Singleplayer', 'Combat', 'Story Rich', 'Dragons', 'Retro']"
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,19.99,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'War', 'Realistic', 'Destruction', 'Difficult', '3D']"
Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/,29.99,"['Action RPG', 'Hack and Slash', 'RPG', 'Souls-like', 'Loot', 'Action', 'MMORPG', 'Dark Fantasy', 'Isometric', 'Dungeon Crawler', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Crafting', 'Character Customization', 'Inventory Management', 'Early Access', 'Horror', 'Free to Play', 'Dark']"
Monster Hunter Wilds,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/,69.99,"['Hunting', 'Action', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Dating Sim', 'Character Customization', 'Dragons', 'Open World', 'Third Person', 'Action RPG', 'Adventure', 'Fantasy', 'Cute', 'RPG', 'Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Underwater', 'Nudity']"
Call of Duty®: Warzone™,https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone/,0.00,"['Free to Play', 'FPS', 'Multiplayer', 'Battle Royale', 'Shooter', 'Action', 'Singleplayer', 'Violent', 'First-Person', 'Gore', 'Military', 'Online Co-Op', 'PvP', 'Co-op', 'Survival', 'Realistic', 'Open World', 'Adventure', 'Third Person', 'Atmospheric']"
"Warhammer 40,000: Space Marine 2",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/,38.99,"['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Multiplayer', 'Co-op', 'PvE', 'Adventure', 'Action-Adventure', 'Third Person', 'Sci-fi', 'Wargame', '3D', 'War', 'Fantasy', 'Space', 'Narration', 'Singleplayer', 'Realistic', 'Cinematic', 'Futuristic']"
Split Fiction,https://store.steampowered.com/app/2001120/Split_Fiction/,49.99,"['Co-op', 'Split Screen', 'Female Protagonist', 'Action-Adventure', '3D Platformer', 'Fantasy', 'Sci-fi', 'Local Co-Op', 'Third Person', 'Story Rich', 'Online Co-Op', 'Adventure', 'Action', 'Co-op Campaign', 'Local Multiplayer', 'Multiplayer', 'Puzzle Platformer', 'Platformer', 'Funny', 'Mature']"
Lost Skies,https://store.steampowered.com/app/1931180/Lost_Skies/,22.49,"['Adventure', 'Open World Survival Craft', 'Base Building', 'Action', 'Online Co-Op', 'Vehicular Combat', 'Sandbox', 'Exploration', 'Shooter', 'Character Customization', 'Open World', 'Atmospheric', 'Crafting', 'PvE', 'Flight', 'Fantasy', 'Co-op', 'Singleplayer', 'Lore-Rich', 'Early Access']"
